,index,id,PublicRemarks,Bathroom,Bedrooms,Sqft,Price,Type,Address,Longitude,Latitude,PostalCode
39,10,27658003,"UNPARALLELED PERFECTION! MODERN ART MEETS WARM LUXURY LIVING in this West Point Grey top floor, One-of-a-kind 2 level, 2 bed, 3 bath, 1,675 sq. ft. trophy home!    Light, welcoming dramatic floor to ceiling windows and soaring ceilings, has seen a COMPLETE (2021 @ $1.37M) transformation to a modern sanctuary (designed by Shift), combining a serene palette with a stylish aesthetic, & the latest in home tech. High end finish & clever seamless storage solutions throughout.   Outstanding features include custom oak veneer cabinetry, marble walls & countertops in kitchen & bathrooms, top of the line Miele appliances, motorized blinds, ethanol fireplace, ribbon & recessed lighting, exceptional millwork, & more.   See video fly through to see the gorgeous layout and flow with this property that is art!  Surrounded by best schools, trails, & shops.   Open Houses not allowed. Please contact your Realtor for private showing.   AVAILABLE & Phenomenal! (30602914)",3,2,1675,2450000,Single Family,"401 4387 W 10TH AVENUE|Vancouver, British Columbia V6R2H6",-123.20559,49.263908,V6R2H6
40,9,27129295,"This brand-new, energy-efficient front duplex offers fabulous mountain views & is located in the prestigious and prime neighbourhood of Point Grey. Enjoy the proximity to Pacific Spirit Park, Spanish Banks & Jericho beaches. The area boasts amazing shops & eateries along W10th Avenue & is a quick bus ride to UBC. The home features a professional interior design with a thoughtful floor plan layout & is built to meet the City of Vancouver's current energy codes for high insulation value. Cozy gas fireplace adds to its warmth. The kitchen is equipped with high-end designer Dekton countertops/backsplash with warm brushed nickel trim & high-end Bosch appliances, including a gas range. Modern, energy-efficient LED lighting, a heat pump, A/C, HRV, & a dedicated EV charging station add to the convenience. The property includes Kohler & Moen bath fixtures, Weiser hardware, modern exterior & good-size garage, along with plenty of street parking. Close to private schools + Lord Byng. Bonus storage: approx. 500sf crawl space! (30031599)",4,3,1570,2398000,Single Family,"1 4423 W 16TH AVENUE|Vancouver, British Columbia V6R3E7",-123.207035,49.258577,V6R3E7
41,8,27086353,"Central Location Prestigious Point Grey Area! An incredible opportunity to have this fabulous tastefully renovated corner lot with south-facing. This rare rarely functional, efficient layout house offers fully renovated gourmet kitchen with high end appliances such as Miele, Bloomberg, new double glazed windows/drapes, new lighting fixture. Brand new and luxury master bedroom ensuite on the main level and 3 generous bedrooms plus a den on the upper level. Basement can be two separated entry suites with design drawing, one is studio suite and the other is 2 bedrooms suite. Lord Byng School Catchment and steps to UBC main campus. A must see! Serious Seller and Offers are welcome! Open House: Sun (Nov 17) 2-4pm (29984959)",2,4,2074,2299900,Single Family,"4694 W 8TH AVENUE|Vancouver, British Columbia V6R2A7",-123.214956,49.265466,V6R2A7
42,7,27602618,"Luxury south facing front Unit Contemporary 3 bdrms, 2.5 bath Plus Den 1/2 duplex. Situated in the prestigious Point Grey neighborhood features an open concept main floor with a sleek modern kitchen offering Fisher& Paykel built-in appliances, gorgeous millwork, and high quality finishings. 10' high ceilings and oversized windows allow for an abundance of light and a view of the surrounding greenery. The efficient floor plan allows for 3 bedrooms, 2 baths and open den on the upper two floors with large built functional cabinets. 680 s.f.l crawl space for storage! Lord Byng Secondary. close to UBC easy to access to Downtown . Open house Nov 16 , Saturday 2:30- 4 pm (30543233)",3,3,1589,2299000,Single Family,"4417 W 16TH AVENUE|Vancouver, British Columbia V6R3E7",-123.206896,49.258503,V6R3E7
43,6,27603930,"This back unit duplex boasts a secondary suite and a well-designed layout that optimizes living space. The kitchen is outfitted with built-in appliances. Upstairs, you'll find two bedrooms, each with its own walk-in closet. Additionally, the basement(secondary suite) comes with its own living area & kitchen offers potential as mortgage helper. Other features include air conditioning, hardwood flooring, radiant heat, HRV, and a 2/5/10 Warranty. Conveniently located just steps away from Lord Byng Secondary, Quesnel Elementary, and QE Elementary, with quick access to Dunbar or W4th shopping streets, UBC, beach parks, and more. Open House: Nov 16, 2-4pm. (30544787)",3,3,1370,1880000,Single Family,"3812 W 15TH AVENUE|Vancouver, British Columbia V6R2Z9",-123.188459,49.25878,V6R2Z9
44,5,27603926,"This front unit duplex boasts a secondary suite and a well-designed layout that optimizes living space. The kitchen is outfitted with built-in appliances. Upstairs, you'll find two bedrooms, each with its own walk-in closet. Additionally, the basement(secondary suite) comes with its own living & kitchen offers potential as mortgage helper. Other features include air conditioning, hardwood flooring, radiant heat, HRV, and a 2/5/10 Warranty.  Conveniently located just steps away from Lord Byng Secondary, Quesnel Elementary, and QE Elementary, with quick access to Dunbar or W4th shopping streets, UBC, beach parks, and more. Open House: Nov 16, 2-4pm. (30544775)",3,3,1471,1880000,Single Family,"3814 W 15TH AVENUE|Vancouver, British Columbia V6R2Z9",-123.188502,49.258836,V6R2Z9
45,4,27607367,"Spectacular contemporary 1 Br & flex/ office space apartment in Point Grey on Quiet side of the building with City, Mtn. & Water views. Efficient open floor plan with bay window, Juliette balcony & lots of storage. Top quality finishing inc. engineered HW flooring, quartz counters, stainless appliances inc. meile cooktop & F&P fridge. Opaque sliding door system separates Bdrm & Drm & galley style Kit features handy pantry. 1 Pkg, 1 storage locker, sep bike storage, 1 cat or 1 dog allowed.  It is located in very central area, walking distance to shops, restaurants, golf, beaches, UEL trails and all kinds of shopping & restaurants. Transit goes straight to UBC & DOWNTOWN. All measurements  must be verified if important to the Buyer and are deemed to be correct but not guaranteed. (30548339)",1,1,878,1024606,Single Family,"304 4463 W 10TH AVENUE|Vancouver, British Columbia V6R2H8",-123.2080384,49.2639739,V6R2H8
46,3,27542836,"Nestled in the heart of Point Grey Village, this rarely available 1-bedroom plus office/solarium condo offers an exceptional living experience. The contemporary finishings throughout showcase the quality of this concrete building, creating a sophisticated and solid home. The kitchen features a Bertazzoni gas range, sleek granite counters, and a premium Liebherr refrigerator. Elegant hardwood floors flow throughout the space, adding warmth and character. The vibrant neighborhood boasts close proximity to excellent amenities, including Lord Byng Secondary School, UBC, and the picturesque Trimble Park. Experience the best of Vancouver living in this meticulously crafted condo, where modern living meets convenience in one of the city's most desirable locations. 1 parking included. (30478504)",1,1,727,799000,Single Family,"301 4375 W 10TH AVENUE|Vancouver, British Columbia V6R2H6",-123.205249,49.263956,V6R2H6
47,2,27542860,"The Avenue! A lovely boutique building in prime Point Grey area. This well-kept 1 bedroom and den home features 9' ceiling, open floor plan with no waste of space, South facing living room allows plenty of natural light. Fresh paint, Kohler fixtures, stainless steel appliances, granite countertop and Juliet balcony. This exclusive concrete and steel development is in the heart of chic and sophisticated Point Grey Village. Steps to top schools, parks and short walk to beach. A perfect starter home! (30478575)",1,1,634,688000,Single Family,"202 4479 W 10TH AVENUE|Vancouver, British Columbia V6R2H8",-123.20845,49.263977,V6R2H8
48,1,27064233,"INCREDIBLY WELL MAINTAINED BUILDING THAT BELIES ITS AGE! Fantastically located on the border of Kitsilano & Point Grey. This spacious 1 bedroom home offers open, large living & dining areas which could accommodate a home office area all of which lead out to a lovely outdoor covered patio. The bedroom is well fitted for even a king size bed. Large picture windows allow for plenty of natural light! This home also offers 1 parking stall, storage locker, bike room & shared laundry. Walk to Jericho Beach & Park, Spanish Banks, McBride Park & Tennis Courts, grocery & all necessities. Also near Kitsilano Beach & Pool, a variety of excellent restaurants & cafes, great shopping in every direction & so much more! Live where it really matters. OPEN HOUSE SUNDAY, SEPTEMBER 29, 2-4PM. (29961045)",1,1,636,599000,Single Family,"305 3680 W 7TH AVENUE|Vancouver, British Columbia V6R1W4",-123.185366,49.265819,V6R1W4
49,0,27623075,"Discover this large 1 bed & 1 bath at Aston Villa just steps away from Jericho beach as well as UBC Bus! Featuring a spacious bedroom that will easily fit your king size bed as well as a very large living room. Updated kitchen and bathroom as well as pristine refinished original hardwood floors throughout. This home offers an easy walk to transit options, restaurants, cafes, grocery stores and community amenities. Building is pet-friendly ( dogs and cats allowed ) and allows rentals, making it a versatile choice for homeowners and investors alike. Do not miss this opportunity to live in one of Vancouver's most sought after neighbourhoods! (30565347)",1,1,735,585800,Single Family,"106 3731 W 6TH AVENUE|Vancouver, British Columbia V6R1T8",-123.186307,49.267157,V6R1T8
